Ia Fit Probability,Normalized Ia Chi^2,Normalized CC Chi^2,Ia=0__CC=1,,,,,
0.0805,0.306721288,0.306721288,1,,,,,
0.0017,0.316002007,0.316002007,1,,,,,
0.0759,0.321211271,0.321211271,1,,,,,
0.0026,0.2557693,0.2557693,1,,,,,
0.0147,0.304221579,0.304221579,1,,,,,
0.3045,0.294046196,0.294046196,1,,,,,
0,0.181585808,0.181585808,1,,,,,
0,0.249552535,0.249552535,1,,,,,
8.62E-01,0.31780026,0.31780026,1,,,,,
0.1562,0.326660504,0.326660504,1,,,,,
0.0143,0.251455756,0.251455756,1,,,,,
0.2646,0.358399393,0.358399393,1,,,,,
0.1237,0.316249516,0.316249516,1,,,,,
0.0902,0.205800066,0.205800066,1,,,,,
0.1015,0.309882487,0.309882487,1,,,,,
0,0.148446429,0.148446429,1,,,,,
0.0002,0.007123755,0.007123755,1,,,,,
0.0007,0.215142238,0.215142238,1,,,,,
0.2009,0.355229425,0.355229425,1,,,,,
0.5742,0.395648229,0.395648229,1,,,,,
0.999999794,0.100495048,0.100495048,1,,,,,
0.0128,0.337941869,0.337941869,1,,,,,
0.0024,0.223826942,0.223826942,1,,,,,
0.0007,0.259008967,0.259008967,1,,,,,
0.2104,0.293944131,0.293944131,1,,,,,
0.6631,0.522561048,0.522561048,1,,,,,
0.182,0.344320809,0.344320809,1,,,,,
0.5473,0.314392902,0.314392902,1,,,,,
0.0429,0.345331539,0.345331539,1,,,,,
0.1149,0.284230377,0.284230377,1,,,,,
0.1208,0.435819026,0.435819026,1,,,,,
0.0193,0.212903261,0.212903261,1,,,,,
0.0265,0.458356978,0.458356978,1,,,,,
0.4826,0.79442807,0.79442807,1,,,,,
0.2872,0.408211855,0.408211855,1,,,,,
0.0309,0.456606311,0.456606311,1,,,,,
0.1461,0.322009155,0.322009155,1,,,,,
0.3462,0.712464324,0.712464324,1,,,,,
0.0003,0.322997344,0.322997344,1,,,,,
4.03E-01,0.225974272,0.225974272,1,,,,,
1.00E+00,0.31551723,0.31551723,1,,,,,
0.001,0.18909647,0.18909647,1,,,,,
0.0947,0.30206224,0.30206224,1,,,,,
1E-04,0.266179157,0.266179157,1,,,,,
0.1585,0.261861096,0.261861096,1,,,,,
0,0.122377701,0.122377701,1,,,,,
7.25E-02,0.145250316,0.145250316,1,,,,,
0.508,0.417464889,0.417464889,1,,,,,
0.0012,0.28335018,0.28335018,1,,,,,
0.2216,0.294218245,0.294218245,1,,,,,
1.00E+00,0.296703899,0.296703899,1,,,,,
9.79E-01,0.209939204,0.209939204,1,,,,,
0.002,0.124936373,0.124936373,1,,,,,
0.3989,0.344091914,0.344091914,1,,,,,
0.1326,0.577422567,0.577422567,1,,,,,
0.8397,0.437445245,0.437445245,1,,,,,
0.973734,0.294522641,0.294522641,1,,,,,
8.18E-01,0.24291657,0.24291657,1,,,,,
0.0796,0.180964155,0.180964155,1,,,,,
0.001,0.148438316,0.148438316,1,,,,,
0.3563,0.339042063,0.339042063,1,,,,,
0.0057,0.199969046,0.199969046,1,,,,,
1E-04,0.257042758,0.257042758,1,,,,,
0.1356,0.301741112,0.301741112,1,,,,,
0.031,0.141875205,0.141875205,1,,,,,
0.1806,0.316284332,0.316284332,1,,,,,
0.0076,0.228365385,0.228365385,1,,,,,
5.52E-01,0.140546461,0.140546461,1,,,,,
0.0104,0.337907376,0.337907376,1,,,,,
0.1657,0.494301276,0.494301276,1,,,,,
0.213,0.324485303,0.324485303,1,,,,,
1.00E+00,0.113983042,0.113983042,1,,,,,
0.2041,0.347709586,0.347709586,1,,,,,
0.8803,0.369259397,0.369259397,1,,,,,
0.4802,0.277329283,0.277329283,1,,,,,
0.999998312,0.582094494,0.582094494,1,,,,,
7.61E-01,0.114743642,0.114743642,1,,,,,
3.89E-01,0.169909695,0.169909695,1,,,,,
0.0223,0.218561671,0.218561671,1,,,,,
0.1066,0.277777908,0.277777908,1,,,,,
6.55E-01,0.151401221,0.151401221,1,,,,,
0.9239802,0.347142576,0.347142576,1,,,,,
0.6104,0.417834758,0.417834758,1,,,,,
0,0.324702589,0.324702589,1,,,,,
0.2698,0.228938871,0.228938871,1,,,,,
0.301,0.411087765,0.411087765,1,,,,,
0.2224,0.314534097,0.314534097,1,,,,,
0.3967,0.259525931,0.259525931,1,,,,,
0.0041,0.216970957,0.216970957,1,,,,,
0.8936,0.426881597,0.426881597,1,,,,,
0.0003,0.11095652,0.11095652,1,,,,,
0.0655,0.26460914,0.26460914,1,,,,,
0.2267,0.333502215,0.333502215,1,,,,,
0.0014,0.156180014,0.156180014,1,,,,,
0.9090795,0.413908009,0.413908009,1,,,,,
0.0101,0.343458983,0.343458983,1,,,,,
0.0002,0.132828684,0.132828684,1,,,,,
0.0093,0.225270576,0.225270576,1,,,,,
0.0609,0.341062596,0.341062596,1,,,,,
0.1299,0.438222215,0.438222215,1,,,,,
0.0066,0.169758025,0.169758025,1,,,,,
1.00E+00,0.239416313,0.239416313,1,,,,,
0.1515,0.489167729,0.489167729,1,,,,,
0.1324,0.224821644,0.224821644,1,,,,,
0.0176,0.262808016,0.262808016,1,,,,,
0.0284,0.365844744,0.365844744,1,,,,,
6.29E-01,0.191024316,0.191024316,1,,,,,
0.326,0.333352384,0.333352384,1,,,,,
0.2114,0.263109043,0.263109043,1,,,,,
0.0741,0.253935269,0.253935269,1,,,,,
0.0792,0.418412223,0.418412223,1,,,,,
2.06E-02,0.141825473,0.141825473,1,,,,,
0,0.284708481,0.284708481,1,,,,,
0.0014,0.253443301,0.253443301,1,,,,,
0.525,0.414444721,0.414444721,1,,,,,
0,0.076032519,0.076032519,0,,,,,
0,0.028007344,0.028007344,0,,,,,
5.10E-03,0.036048869,0.036048869,0,,,,,
0.1892,0.335410534,0.335410534,0,,,,,
0,0.041217784,0.041217784,0,,,,,
9.00E-04,0.021439238,0.021439238,0,,,,,
0,0.050363001,0.050363001,0,,,,,
0.0676,0.269014828,0.269014828,0,,,,,
0.7404,0.336004001,0.336004001,0,,,,,
1E-04,0.313017178,0.313017178,0,,,,,
0.3583,0.242712901,0.242712901,0,,,,,
1E-04,0.257867331,0.257867331,0,,,,,
0.5006,0.25424339,0.25424339,0,,,,,
0.2364,0.487786946,0.487786946,0,,,,,
0.5309,0.318561185,0.318561185,0,,,,,
1.25E-02,0.084155022,0.084155022,0,,,,,
0.5227,0.337619486,0.337619486,0,,,,,
0.00E+00,0.028884033,0.028884033,0,,,,,
0.1674,0.262732701,0.262732701,0,,,,,
0.0002,0.040422275,0.040422275,0,,,,,
0,0.115932609,0.115932609,0,,,,,
0.001,0.173193511,0.173193511,0,,,,,
0.00E+00,0.01661189,0.01661189,0,,,,,
0.00E+00,0.00813534,0.00813534,0,,,,,
2.00E-04,0.061056246,0.061056246,0,,,,,
0.0278,0.27331371,0.27331371,0,,,,,
0.3439,0.318722602,0.318722602,0,,,,,
0,0.164553107,0.164553107,0,,,,,
0.00E+00,0.028769674,0.028769674,0,,,,,
0.00E+00,0.006840088,0.006840088,0,,,,,
0,0.025935939,0.025935939,0,,,,,
0.0377,0.310399848,0.310399848,0,,,,,
0.41,0.329827061,0.329827061,0,,,,,
1E-04,0.074972582,0.074972582,0,,,,,
0.0003,0.049348258,0.049348258,0,,,,,
0.0026,0.037253522,0.037253522,0,,,,,
0.0002,0.096371895,0.096371895,0,,,,,
0.0014,0.294827715,0.294827715,0,,,,,
2.53E-01,0.170595695,0.170595695,0,,,,,
0.00E+00,0.002537124,0.002537124,0,,,,,
0.00E+00,0.013446382,0.013446382,0,,,,,
0.00E+00,0.030409017,0.030409017,0,,,,,
0.00E+00,0.01010272,0.01010272,0,,,,,
0.2879,0.257969412,0.257969412,0,,,,,
1.00E-04,0.021882531,0.021882531,0,,,,,
0.00E+00,0.047599267,0.047599267,0,,,,,
0.00E+00,0.019372216,0.019372216,0,,,,,
0.00E+00,0.012759634,0.012759634,0,,,,,
0,0.010223226,0.010223226,0,,,,,
0,0.053596629,0.053596629,0,,,,,
7.89E-01,0.236620605,0.236620605,0,,,,,
0.00E+00,0.013192337,0.013192337,0,,,,,
0.00E+00,0.037163633,0.037163633,0,,,,,
0.0008,0.102590732,0.102590732,0,,,,,
0.1133,0.230042436,0.230042436,0,,,,,
0,0.054577153,0.054577153,0,,,,,
0.0224,0.146895086,0.146895086,0,,,,,
0.1547,0.301042623,0.301042623,1,,,,,
0.3752,0.328351669,0.328351669,1,,,,,
0.0306,0.234838293,0.234838293,1,,,,,
0.1004,0.357134302,0.357134302,1,,,,,
0.5635,0.333532025,0.333532025,1,,,,,
0.0019,0.326511214,0.326511214,1,,,,,
0.1356,0.254764819,0.254764819,1,,,,,
0.1042,0.347026959,0.347026959,1,,,,,
0.0012,0.20770257,0.20770257,1,,,,,
0.3253,0.340752561,0.340752561,1,,,,,
0.6947,0.457176215,0.457176215,1,,,,,
0.0014,0.150574156,0.150574156,1,,,,,
0.2346,0.315993326,0.315993326,1,,,,,
0.0092,0.263184205,0.263184205,1,,,,,
0.0002,0.26101377,0.26101377,1,,,,,
1.05E-01,0.109447103,0.109447103,1,,,,,
0.0005,0.16283035,0.16283035,1,,,,,
0.0297,0.509180563,0.509180563,1,,,,,
7.70E-01,0.196210068,0.196210068,1,,,,,
0.4568,0.267783686,0.267783686,1,,,,,
2.10E-01,0.131067579,0.131067579,1,,,,,
0.0146,0.326506247,0.326506247,1,,,,,
0.0042,0.223664889,0.223664889,1,,,,,
0.0017,0.186384282,0.186384282,1,,,,,
0.0444,0.452032632,0.452032632,1,,,,,
0.9561337,0.324718321,0.324718321,1,,,,,
8.18E-01,0.240578093,0.240578093,1,,,,,
0.1051,0.306980211,0.306980211,1,,,,,
0.0985,0.259883039,0.259883039,1,,,,,
0.0005,0.128420373,0.128420373,1,,,,,
0.0019,0.332234568,0.332234568,1,,,,,
0.024,0.267204769,0.267204769,1,,,,,
0.0725,0.253432517,0.253432517,1,,,,,
0.025,0.335945566,0.335945566,1,,,,,
0.6229,0.386317819,0.386317819,1,,,,,
0.0129,0.340444277,0.340444277,1,,,,,
0.8938,0.366457306,0.366457306,1,,,,,
9.14E-01,0.324627464,0.324627464,1,,,,,
0.0069,0.326441197,0.326441197,1,,,,,
0.0099,0.369406585,0.369406585,1,,,,,
0.0345,0.334858391,0.334858391,1,,,,,
0.0586,0.31800368,0.31800368,1,,,,,
0.0074,0.145319208,0.145319208,1,,,,,
0.002,0.270677737,0.270677737,1,,,,,
0.6922,0.386384483,0.386384483,1,,,,,
4.10E-03,0.075050085,0.075050085,1,,,,,
0.0493,0.29813905,0.29813905,1,,,,,
0.5521,0.338205959,0.338205959,1,,,,,
0.0062,0.259978242,0.259978242,1,,,,,
0.1047,0.201113557,0.201113557,1,,,,,
0.1324,0.228370456,0.228370456,1,,,,,
0.0374,0.326101865,0.326101865,1,,,,,
0.0634,0.253672384,0.253672384,1,,,,,
0.1188,0.348799271,0.348799271,1,,,,,
0.0602,0.716695801,0.716695801,1,,,,,
0.0157,0.089958024,0.089958024,1,,,,,
0.0003,0.259695953,0.259695953,1,,,,,
0.0696,0.276185751,0.276185751,1,,,,,
0.0013,0.251590445,0.251590445,1,,,,,
0.0108,0.200936234,0.200936234,1,,,,,
