,CID,TYPE,ITYPE_BEST,FITPROB_Ia,FITPROB_Ibc,FITPROB_II,CHI2_Ia,CHI2_Ibc,CHI2_II,PBAYES_Ia,PBAYES_Ibc,PBAYES_II,Ia=0__CC=1
1343,1225,32,0,0.9999,0.9990,0.9993,3.6152,4.9031,4.6801,0.8499,0.1349,1.51464e-02,1
1344,13636,32,-9,0.3472,0.6905,0.6215,15.4635,10.0423,10.8722,0.3176,0.5748,0.1076,1
1345,8807,33,2,0.1883,2.78871e-07,0.7948,19.5873,59.7460,10.3855,3.58138e-02,5.34507e-11,0.9642,1
1346,7493,33,0,0.2452,0.1742,0.1192,20.5895,22.2795,24.0086,0.8531,6.16994e-02,8.52331e-02,1
1347,3630,20,-9,0.8354,0.9986,0.9996,7.3245,2.3800,1.8880,5.98136e-02,0.5287,0.4115,1
1348,9937,20,-9,0.8226,0.9716,0.9442,8.3132,5.7866,6.0528,8.80645e-02,0.1211,0.7909,1
1349,528,20,-9,1.35883e-02,0.7842,0.8754,35.0990,13.9919,12.2327,1.21904e-06,0.4699,0.5301,1
1350,4702,20,-9,0.8108,0.3846,0.8881,13.5229,20.1670,11.9418,0.1757,1.02762e-02,0.8140,1
1351,8251,20,2,9.36165e-02,0.9214,0.9928,26.2758,10.3085,6.6507,3.99561e-06,1.41814e-02,0.9858,1
1352,14642,20,-9,0.9991,0.9996,0.9934,4.3128,3.8465,5.9633,0.1942,0.5203,0.2855,1
1353,1669,20,-9,0.9982,0.9982,0.9986,5.8584,5.8701,5.6964,0.1391,0.5557,0.3052,1
1354,1667,20,0,0.9463,0.9638,0.9568,9.5247,8.8170,9.1226,0.4812,0.2505,0.2682,1
1355,2606,20,-9,0.9525,0.9839,0.9588,10.0163,8.2521,9.7523,0.1510,0.2787,0.5703,1
1356,7003,21,0,0.9995,0.4292,0.9958,4.9679,19.4363,6.6686,0.5511,9.20993e-05,0.4488,1
1357,14145,22,0,0.5285,0.4557,0.4681,17.9098,19.0173,18.8249,0.9762,1.71068e-02,6.64555e-03,1
1358,12591,22,-9,0.2418,0.2230,0.3866,21.7813,21.0741,18.0353,0.2464,0.2379,0.5157,1
1359,5733,32,1,0.7764,0.9998,0.5018,8.1115,1.2972,10.3208,1.44234e-02,0.9821,3.48579e-03,1
1360,770,32,0,0.8698,0.2724,0.6712,10.7392,20.0368,13.9415,0.9319,5.01263e-03,6.30566e-02,1
1361,7124,32,0,0.9993,0.9996,0.9959,1.0634,0.9023,1.6423,0.7947,5.34646e-02,0.1518,1
1362,4334,33,0,0.9999,0.9716,0.4662,0.4971,2.2689,7.6714,0.9584,4.15610e-02,7.85129e-05,1
1363,4278,33,0,0.9952,0.2744,0.1774,1.3284,9.8687,11.4515,0.9996,3.79794e-04,8.22102e-06,1
1364,14258,1,0,0.8954,0.4701,0.4820,11.7662,17.7821,18.6109,0.8939,9.90549e-02,7.09205e-03,0
1365,7366,1,0,1,0.9875,2.26694e-03,0.3130,6.6616,36.7593,0.9999,1.10297e-04,1.29241e-10,0
1366,4220,1,0,0.9480,0.5104,7.25827e-02,3.3664,8.2379,14.3715,0.9918,7.70896e-03,5.02182e-04,0
1367,12275,1,0,0.9999,0.4134,6.17060e-04,3.3134,18.6550,42.2503,0.9999,1.32026e-04,3.42859e-10,0
1368,14393,1,0,1,0.5981,1.12977e-04,1.7789,16.8789,48.8360,1,2.56654e-05,9.37701e-13,0
1369,6453,1,0,0.9730,0.1611,0.3483,7.6739,22.6461,18.6623,0.9999,4.23891e-05,6.51207e-05,0
1370,13485,1,0,1,0.7589,1.93792e-04,0.6699,11.7817,44.0506,0.9992,8.46175e-04,6.94386e-11,0
1371,6679,1,-9,0.5358,0.5390,0.5834,15.8314,14.8049,15.1678,0.3583,0.4987,0.1430,0
1372,13613,1,-9,0.9988,0.9987,0.5466,2.71853e-02,2.94356e-02,2.1262,0.7745,0.2174,8.02324e-03,0
1373,4492,1,2,0.7368,0.1225,0.9926,14.7754,25.0871,7.2680,5.25538e-03,1.56649e-05,0.9947,0
1374,2850,1,0,0.9994,7.30054e-04,9.97902e-02,2.7650,35.4181,21.0725,0.9999,9.76272e-08,5.21228e-05,0
1375,1274,1,0,1,0.9874,0.8753,1.9714,7.9269,12.2365,0.9966,3.36780e-03,2.16348e-05,0
